ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,YIELD2,DY_SK,PL_HT,E_HT,ASI,P_ASP,P_HARV,E_HARV,E_ASP,GWT,1000GWT,HUSK,RL,RLPER,SL,SLPER,E_ROT,RUST,BLIGHT,CURV,DIPLODIA,DM,ANTHESIS,STALK_ROT,STREAK,INSECT,MOIST,COBDAMCO,COBDAMRT,DEADHEART,SBDAMAT,BORERDMRAT,GLS,GTEXT,PLST
296,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,5,Sin. 93 TZUTSR-W,MALI,DALABANI,,-9.45,10.47,,2000,3663.52,,65.25,143.00,59.50,3.50,3.25,32.25,30.25,2.50,,,3.3,1.8,,1.3,,0.8,,,,,,62,,,,19.5,,,,,,,,33
297,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,6,9164-2,MALI,DALABANI,,-9.45,10.47,,2000,2421.28,,65.50,149.25,63.50,4.00,3.50,34.00,30.50,2.50,,,3.0,0.5,,1.0,,1.0,,,,,,62,,,,18.8,,,,,,,,37
298,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,7,8522-2,MALI,DALABANI,,-9.45,10.47,,2000,3803.34,,65.25,156.75,74.00,3.50,3.25,33.00,31.00,2.00,,,2.8,2.3,,1.8,,0.5,,,,,,62,,,,19.5,,,,,,,,36
299,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,8,9111-1,MALI,DALABANI,,-9.45,10.47,,2000,2557.95,,65.00,142.50,56.25,4.00,3.50,29.25,28.75,3.00,,,3.0,2.0,,2.5,,1.5,,,,,,61,,,,19.4,,,,,,,,36
300,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,9,8981-5,MALI,DALABANI,,-9.45,10.47,,2000,2040.63,,70.00,139.25,54.75,6.75,3.75,28.50,21.75,3.00,,,3.0,3.8,,1.5,,1.0,,,,,,63,,,,19.8,,,,,,,,31
301,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,10,9033-26,MALI,DALABANI,,-9.45,10.47,,2000,2382.89,,68.00,139.50,47.50,5.50,3.50,32.75,28.25,3.00,,,3.3,,,2.5,,0.8,,,,,,63,,,,19.4,,,,,,,,38
302,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,11,Oba Super 2,MALI,DALABANI,,-9.45,10.47,,2000,2516.82,,66.00,137.75,65.75,4.50,3.25,34.50,29.50,2.75,,,3.0,0.3,,2.5,,0.5,,,,,,62,,,,19.8,,,,,,,,39
303,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014DL,12,Check,MALI,DALABANI,,-9.45,10.47,,2000,2994.63,,67.25,147.00,66.00,5.00,3.50,30.00,28.25,3.00,,,3.3,1.5,,1.8,,1.0,,,,,,62,,,,17.6,,,,,,,,37
304,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,1,Ak 9443-DMRSR,MALI,KEBILA,,-7.03,11.28,,2000,3517.97,,59.75,192.50,87.50,,2.50,33.75,34.50,3.00,,,2.0,1.5,,2.3,,2.8,,,,,,61,,,,13.4,,,,,,,,37
305,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,2,ACR 9222-SR,MALI,KEBILA,,-7.03,11.28,,2000,4177.53,,59.75,196.25,91.25,,2.25,36.25,34.75,2.75,,,1.8,4.8,,2.8,,2.0,,,,,,61,,,,14.4,,,,,,,,38
306,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,3,IWDC0,MALI,KEBILA,,-7.03,11.28,,2000,4318.12,,58.00,192.50,90.00,,2.00,37.75,38.00,2.75,,,1.8,3.5,,3.3,,2.3,,,,,,58,,,,13.7,,,,,,,,39
307,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,4,ACR 9128 NN,MALI,KEBILA,,-7.03,11.28,,2000,3610.07,,59.25,197.50,90.00,,2.25,36.75,34.25,2.50,,,2.3,5.5,,3.3,,1.3,,,,,,60,,,,12.8,,,,,,,,38
308,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,5,Sin. 93 TZUTSR-W,MALI,KEBILA,,-7.03,11.28,,2000,4831.54,,59.25,200.00,95.00,,1.75,36.75,34.00,3.00,,,1.3,2.8,,2.0,,3.0,,,,,,60,,,,13.5,,,,,,,,37
309,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,6,9164-2,MALI,KEBILA,,-7.03,11.28,,2000,4099.94,,60.50,201.25,95.00,,2.00,36.25,35.50,2.75,,,2.3,7.0,,4.5,,2.5,,,,,,61,,,,13.8,,,,,,,,37
310,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,7,8522-2,MALI,KEBILA,,-7.03,11.28,,2000,5048.07,,59.50,203.75,96.25,,2.00,39.50,37.50,1.75,,,1.5,1.3,,3.0,,,,,,,,61,,,,15.9,,,,,,,,40
311,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,8,9111-1,MALI,KEBILA,,-7.03,11.28,,2000,4590.99,,58.50,161.25,57.50,,2.50,36.25,36.00,2.75,,,2.3,4.5,,3.0,,2.0,,,,,,59,,,,14.2,,,,,,,,38
312,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,9,8981-5,MALI,KEBILA,,-7.03,11.28,,2000,4905.27,,58.00,205.00,97.50,,1.50,33.25,32.75,2.25,,,1.5,5.8,,3.3,,2.3,,,,,,59,,,,13.6,,,,,,,,35
313,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,10,9033-26,MALI,KEBILA,,-7.03,11.28,,2000,4347.98,,59.75,188.75,83.75,,2.25,33.50,33.00,2.50,,,2.0,4.5,,2.8,,1.0,,,,,,60,,,,14.4,,,,,,,,36
314,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,11,Oba Super 2,MALI,KEBILA,,-7.03,11.28,,2000,4803.44,,59.00,186.25,83.75,,1.25,42.00,37.00,2.25,,,2.3,2.3,,2.3,,0.8,,,,,,60,,,,13.8,,,,,,,,39
315,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014KEB,12,Check,MALI,KEBILA,,-7.03,11.28,,2000,3253.28,,58.75,190.00,85.00,,2.00,34.25,32.75,3.00,,,1.8,5.3,,3.8,,1.3,,,,,,59,,,,13.1,,,,,,,,36
316,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,1,Ak 9443-DMRSR,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,1759.45,,69.25,164.38,80.38,5.25,3.25,33.00,30.25,3.75,,,3.0,5.5,,1.8,,1.8,,,,,,64,,,,20.0,,,,,,,,33
317,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,2,ACR 9222-SR,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,1631.83,,68.00,165.50,82.25,5.25,3.50,34.00,28.50,3.25,,,3.3,11.3,,0.8,,0.8,,,,,,63,,,,19.4,,,,,,,,34
318,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,3,IWDC0,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2259.52,,63.75,169.50,83.88,3.00,3.25,34.00,29.25,3.25,,,3.0,12.8,,2.3,,1.5,,,,,,61,,,,20.0,,,,,,,,34
319,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,4,ACR 9128 NN,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,1278.86,,68.25,149.75,72.25,6.00,4.50,37.25,30.50,3.75,,,3.8,16.0,,1.5,,2.3,,,,,,62,,,,20.0,,,,,,,,37
320,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,5,Sin. 93 TZUTSR-W,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2104.29,,66.25,169.00,81.25,3.75,3.50,30.75,31.25,3.50,,,3.3,2.5,,0.8,,1.0,,,,,,63,,,,22.0,,,,,,,,31
321,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,6,9164-2,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2503.64,,68.75,164.13,79.88,2.75,3.25,27.00,24.25,2.75,,,2.8,7.8,,1.0,,1.0,,,,,,66,,,,22.8,,,,,,,,27
322,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,7,8522-2,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2861.83,,67.00,171.75,87.88,4.75,3.25,33.75,31.25,2.25,,,2.8,12.0,,,,,,,,,,62,,,,20.4,,,,,,,,34
323,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,8,9111-1,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2550.82,,66.25,148.13,70.75,4.25,2.75,33.00,30.75,3.00,,,3.0,9.3,,,,1.5,,,,,,62,,,,19.9,,,,,,,,33
324,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,9,8981-5,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2417.52,,69.00,155.00,79.63,5.00,3.00,32.50,30.00,2.25,,,3.0,2.5,,2.0,,0.8,,,,,,64,,,,21.1,,,,,,,,33
325,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,10,9033-26,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2045.27,,68.75,160.63,79.00,3.50,3.00,31.50,30.00,2.75,,,3.0,8.0,,0.3,,1.3,,,,,,65,,,,37.8,,,,,,,,32
326,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,11,Oba Super 2,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,2774.09,,65.00,161.25,81.75,4.25,3.25,36.75,30.50,2.50,,,3.3,9.0,,2.5,,,,,,,,61,,,,19.6,,,,,,,,37
327,Late/Int. Drought Tol.Opv & Hybrid Trial,M2014ST,12,Check,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,2000,1786.35,,66.75,150.63,74.38,4.50,4.00,28.00,23.75,3.25,,,2.8,10.5,,0.3,,,,,,,,62,,,,20.7,,,,,,,,28
328,Evt-Lsr (Yellow),M0102,1,AK.9528-DMRSR,MALI,DALABANI,,-9.45,10.47,,2001,2552.42,,63.25,189.75,95.25,2.50,2.50,38.25,40.50,2.75,,,2.0,19,,3.0,,3.3,,2.5,,,,61,,,,,,,,,,,,41
329,Evt-Lsr (Yellow),M0102,2,IK.91 TZL Comp.3-Y C1,MALI,DALABANI,,-9.45,10.47,,2001,3391.34,,59.75,184.00,85.00,3.25,2.50,41.75,40.25,2.75,,,2.3,12,,4.0,,3.0,,2.0,,,,57,,,,,,,,,,,,42
330,Evt-Lsr (Yellow),M0102,3,Acr.91 Suwan 1-SR C1,MALI,DALABANI,,-9.45,10.47,,2001,2619.45,,54.00,181.25,83.00,3.00,2.75,38.75,37.00,2.75,,,2.0,18,,4.0,,3.0,,2.8,,,,51,,,,,,,,,,,,40
331,Evt-Lsr (Yellow),M0102,4,TZB-SR SGY,MALI,DALABANI,,-9.45,10.47,,2001,3555.36,,60.00,184.50,88.75,4.00,2.50,41.25,42.25,2.75,,,1.8,15,,5.8,,4.3,,2.5,,,,56,,,,,,,,,,,,43
332,Evt-Lsr (Yellow),M0102,5,Ikenne 88 TZSR-Y-1,MALI,DALABANI,,-9.45,10.47,,2001,1351.80,,64.00,172.75,77.00,0.75,3.00,34.25,31.00,3.50,,,2.0,20,,2.0,,3.5,,2.5,,,,63,,,,,,,,,,,,39
333,Evt-Lsr (Yellow),M0102,6,Oba Super 2,MALI,DALABANI,,-9.45,10.47,,2001,3527.55,,56.00,176.50,84.25,3.25,2.50,39.00,40.00,2.00,,,1.3,8,,3.0,,1.8,,2.5,,,,53,,,,,,,,,,,,40
334,Evt-Lsr (Yellow),M0102,7,Check,MALI,DALABANI,,-9.45,10.47,,2001,3250.57,,56.75,190.25,91.75,3.50,2.50,41.50,39.50,2.25,,,1.5,12,,6.8,,3.5,,2.3,,,,53,,,,,,,,,,,,43
335,Hybrid Maize Trial (White),M0106,1,9712-13,MALI,DALABANI,,-9.45,10.47,,2001,4286.74,,58.75,215.00,85.50,2.00,2.25,38.00,39.75,2.25,4.43,,1.0,9.8,,6.3,,1.3,,2.0,1.0,,,57,,,,16,,,,,,,,39
336,Hybrid Maize Trial (White),M0106,2,9705-89,MALI,DALABANI,,-9.45,10.47,,2001,4580.97,,58.75,184.75,91.00,2.25,2.25,39.50,40.50,2.00,4.58,,2.0,3.5,,2.3,,0.5,,2.3,1.0,,,57,,,,12,,,,,,,,40
337,Hybrid Maize Trial (White),M0106,3,9916-8,MALI,DALABANI,,-9.45,10.47,,2001,2680.92,,60.75,161.25,66.00,2.75,3.00,38.00,38.00,3.75,2.75,,1.8,11.0,,1.8,,1.3,,2.5,1.5,,,58,,,,15,,,,,,,,38
338,Hybrid Maize Trial (White),M0106,4,9916-11,MALI,DALABANI,,-9.45,10.47,,2001,4039.71,,59.00,168.50,74.25,2.50,3.00,36.25,36.25,2.00,4.20,,2.8,9.5,,5.0,,0.3,,2.3,1.0,,,57,,,,16,,,,,,,,38
339,Hybrid Maize Trial (White),M0106,5,9916-12,MALI,DALABANI,,-9.45,10.47,,2001,5094.00,,60.00,192.25,92.75,2.50,2.00,37.50,39.25,1.75,5.10,,1.3,8.8,,4.0,,1.5,,2.3,1.0,,,58,,,,13,,,,,,,,39
340,Hybrid Maize Trial (White),M0106,6,2016-1,MALI,DALABANI,,-9.45,10.47,,2001,3897.09,,58.00,168.75,73.00,2.50,2.75,37.75,37.75,2.50,3.90,,2.0,14.0,,5.3,,1.3,,2.3,1.0,,,56,,,,12,,,,,,,,39
341,Hybrid Maize Trial (White),M0106,7,2016-8,MALI,DALABANI,,-9.45,10.47,,2001,3677.16,,59.50,172.50,72.50,2.25,2.25,36.00,35.25,2.25,3.68,,2.5,1.5,,1.5,,1.8,,2.5,1.0,,,57,,,,13,,,,,,,,37
342,Hybrid Maize Trial (White),M0106,8,2016-10,MALI,DALABANI,,-9.45,10.47,,2001,3780.13,,60.50,196.50,93.75,3.00,2.50,31.50,33.50,2.00,3.80,,1.8,17.8,,3.8,,2.0,,2.0,1.0,,,58,,,,13,,,,,,,,35
343,Hybrid Maize Trial (White),M0106,9,2016-4,MALI,DALABANI,,-9.45,10.47,,2001,4074.37,,57.00,182.75,89.75,2.50,2.00,38.25,37.25,2.25,4.20,,1.8,10.8,,2.0,,1.0,,2.0,1.0,,,55,,,,15,,,,,,,,37
344,Hybrid Maize Trial (White),M0106,10,2016-6,MALI,DALABANI,,-9.45,10.47,,2001,3193.23,,58.25,171.25,78.50,2.25,3.25,34.00,33.75,2.50,3.30,,2.3,29.5,,1.3,,1.3,,2.8,1.0,,,56,,,,15,,,,,,,,36
345,Hybrid Maize Trial (White),M0106,11,Oba Super 1(RE),MALI,DALABANI,,-9.45,10.47,,2001,3487.47,,60.25,178.50,76.00,2.25,1.75,37.75,38.00,2.50,3.53,,1.8,14.0,,2.3,,1.8,,2.8,1.0,,,58,,,,13,,,,,,,,38
346,Hybrid Maize Trial (White),M0106,12,TZL Comp.4 C1,MALI,DALABANI,,-9.45,10.47,,2001,4421.38,,62.00,193.75,99.00,3.50,2.25,41.00,41.75,2.25,4.55,,2.0,2.8,,5.3,,1.3,,2.3,1.3,,,59,,,,15,,,,,,,,41
347,Hybrid Maize Trial (White),M0106,13,CHL103; 87036xEXP124,MALI,DALABANI,,-9.45,10.47,,2001,4178.34,,63.00,192.00,93.00,3.50,2.25,40.25,38.25,2.50,4.15,,1.8,10.5,,5.3,,3.8,,2.5,1.0,,,60,,,,12,,,,,,,,42
348,Hybrid Maize Trial (White),M0106,14,Check,MALI,DALABANI,,-9.45,10.47,,2001,3107.23,,61.00,187.75,92.50,2.75,2.25,38.25,36.50,3.00,3.08,,2.3,6.8,,5.0,,1.3,,2.5,1.0,,,58,,,,12,,,,,,,,39
349,Hybrid Maize Trial (Yellow),M0107,1,9903-2,MALI,DALABANI,,-9.45,10.47,,2001,3796.68,,60.25,171.75,72.00,2.50,1.50,40.50,37.50,2.50,3.88,,2.0,10,,3.0,,2.5,,1.8,1.0,,,58,,,,14,,,,,,,,38
350,Hybrid Maize Trial (Yellow),M0107,2,9903-3,MALI,DALABANI,,-9.45,10.47,,2001,3536.39,,60.00,170.50,82.25,2.25,2.25,37.00,41.75,2.25,3.63,,1.8,5,,4.5,,1.8,,2.0,1.5,,,58,,,,15,,,,,,,,42
351,Hybrid Maize Trial (Yellow),M0107,3,2016-3,MALI,DALABANI,,-9.45,10.47,,2001,3274.53,,59.50,177.75,82.25,2.25,2.50,35.00,35.25,2.25,3.33,,2.0,13,,4.5,,3.3,,2.5,1.0,,,57,,,,14,,,,,,,,36
352,Hybrid Maize Trial (Yellow),M0107,4,2006-6,MALI,DALABANI,,-9.45,10.47,,2001,2308.53,,59.75,162.50,71.75,2.25,2.75,31.75,31.50,3.00,2.38,,1.8,13,,3.0,,2.0,,2.3,1.0,,,58,,,,15,,,,,,,,31
353,Hybrid Maize Trial (Yellow),M0107,5,2006-7,MALI,DALABANI,,-9.45,10.47,,2001,3059.45,,61.25,143.00,53.75,2.25,2.50,40.75,38.75,2.50,3.05,,1.8,8,,5.0,,2.5,,2.5,1.3,,,59,,,,12,,,,,,,,39
354,Hybrid Maize Trial (Yellow),M0107,6,2006-34,MALI,DALABANI,,-9.45,10.47,,2001,3891.10,,61.00,204.00,100.00,2.25,1.75,42.00,41.25,2.00,3.95,,2.0,17,,9.5,,1.0,,2.5,1.3,,,59,,,,14,,,,,,,,42
355,Hybrid Maize Trial (Yellow),M0107,7,2006-48,MALI,DALABANI,,-9.45,10.47,,2001,3224.75,,60.00,177.00,85.00,2.00,2.75,35.25,35.25,2.50,3.30,,1.8,7,,6.0,,1.3,,2.3,1.5,,,58,,,,14,,,,,,,,37
356,Hybrid Maize Trial (Yellow),M0107,8,Oba Super 2 (RE),MALI,DALABANI,,-9.45,10.47,,2001,3031.64,,63.00,152.75,61.25,3.50,2.50,36.75,35.00,2.50,3.10,,1.8,11,,4.8,,1.0,,2.3,1.8,,,60,,,,14,,,,,,,,35
357,Hybrid Maize Trial (Yellow),M0107,9,Ikenne TZSR-Y-1,MALI,DALABANI,,-9.45,10.47,,2001,3425.28,,63.00,188.25,90.50,3.50,1.50,39.25,37.25,2.00,3.48,,1.5,9,,4.3,,4.5,,2.5,1.5,,,60,,,,14,,,,,,,,38
358,Hybrid Maize Trial (Yellow),M0107,10,Check,MALI,DALABANI,,-9.45,10.47,,2001,2966.32,,60.00,174.25,80.50,2.00,2.50,37.25,37.50,2.75,3.00,,2.0,10,,3.8,,4.3,,1.8,1.5,,,58,,,,13,,,,,,,,40
359,Hybrid Maize Trial (White),M0206KEB,1,M2016-1,MALI,KEBILA,,-7.03,11.28,,2002,3442,,65.50,145,53,1.8,2.0,31,29,3.3,,,3.3,9.8,,6.8,,1.3,,,,,,64,,,,20.0,,,,,,,,37
360,Hybrid Maize Trial (White),M0206KEB,2,M2016-8,MALI,KEBILA,,-7.03,11.28,,2002,3802,,66.75,167,68,2.0,1.5,36,33,2.8,,,2.8,5.5,,3.0,,0.3,,,,,,65,,,,17.3,,,,,,,,40
361,Hybrid Maize Trial (White),M0206KEB,3,M2016-4,MALI,KEBILA,,-7.03,11.28,,2002,3306,,66.50,155,62,2.3,2.5,37,32,3.0,,,3.0,4.3,,4.8,,1.3,,,,,,64,,,,19.4,,,,,,,,40
362,Hybrid Maize Trial (White),M0206KEB,4,M2016-6,MALI,KEBILA,,-7.03,11.28,,2002,2586,,64.25,143,53,1.5,2.5,28,21,3.3,,,3.3,7.8,,9.8,,0.5,,,,,,63,,,,17.6,,,,,,,,35
363,Hybrid Maize Trial (White),M0206KEB,5,0103-4*,MALI,KEBILA,,-7.03,11.28,,2002,3668,,64.50,149,53,2.0,1.8,34,31,3.5,,,3.5,8.0,,9.3,,1.5,,,,,,63,,,,16.8,,,,,,,,40
364,Hybrid Maize Trial (White),M0206KEB,6,0103-6*,MALI,KEBILA,,-7.03,11.28,,2002,4497,,64.00,152,56,1.5,2.0,39,38,2.5,,,2.5,2.8,,4.5,,0.5,,,,,,63,,,,18.3,,,,,,,,42
365,Hybrid Maize Trial (White),M0206KEB,7,0103-7*,MALI,KEBILA,,-7.03,11.28,,2002,3531,,66.25,153,54,2.5,2.0,34,32,2.8,,,2.8,2.0,,1.5,,,,,,,,64,,,,18.7,,,,,,,,38
366,Hybrid Maize Trial (White),M0206KEB,8,0103-11*,MALI,KEBILA,,-7.03,11.28,,2002,3816,,66.00,145,53,1.5,1.5,35,31,2.8,,,2.8,5.0,,2.8,,,,,,,,65,,,,17.2,,,,,,,,37
367,Hybrid Maize Trial (White),M0206KEB,9,0103-13*,MALI,KEBILA,,-7.03,11.28,,2002,4335,,66.25,152,51,1.5,1.8,34,31,2.5,,,2.5,4.3,,3.8,,,,,,,,65,,,,19.7,,,,,,,,35
368,Hybrid Maize Trial (White),M0206KEB,10,PH1*,MALI,KEBILA,,-7.03,11.28,,2002,2481,,68.50,166,68,2.5,2.8,32,27,3.3,,,3.3,3.0,,3.5,,1.0,,,,,,66,,,,17.0,,,,,,,,36
369,Hybrid Maize Trial (White),M0206KEB,11,PH5*,MALI,KEBILA,,-7.03,11.28,,2002,2668,,68.75,152,51,1.8,2.5,34,27,3.5,,,3.5,1.5,,2.3,,0.5,,,,,,67,,,,18.2,,,,,,,,37
370,Hybrid Maize Trial (White),M0206KEB,12,PH6*,MALI,KEBILA,,-7.03,11.28,,2002,2427,,65.25,168,71,0.8,2.5,29,21,3.8,,,3.8,6.5,,4.8,,0.5,,,,,,65,,,,17.3,,,,,,,,34
371,Hybrid Maize Trial (White),M0206KEB,13,OBA SUPER I,MALI,KEBILA,,-7.03,11.28,,2002,4773,,66.00,162,65,2.0,1.8,35,37,2.8,,,2.8,2.8,,2.5,,0.3,,,,,,64,,,,19.0,,,,,,,,39
372,Hybrid Maize Trial (White),M0206KEB,14,Check,MALI,KEBILA,,-7.03,11.28,,2002,3418,,63.50,154,61,1.0,2.0,36,33,3.0,,,3.3,9.0,,6.8,,2.0,,,,,,63,,,,17.2,,,,,,,,40
373,Hybrid Maize Trial (White),M0206SNK,1,M2016-1,MALI,SAMANKO,,-8.08,12.53,,2002,2201,,66.50,131,51,2.5,2.0,29,27,2.3,,,2.0,2.0,,9.0,,1.8,,,,,,64,,,,26.1,,,,,,,,
374,Hybrid Maize Trial (White),M0206SNK,2,M2016-8,MALI,SAMANKO,,-8.08,12.53,,2002,1880,,65.50,171,70,2.5,2.3,28,28,2.5,,,2.3,0.8,,6.5,,0.5,,,,,,63,,,,24.8,,,,,,,,
375,Hybrid Maize Trial (White),M0206SNK,3,M2016-4,MALI,SAMANKO,,-8.08,12.53,,2002,2122,,62.00,146,61,2.0,2.3,30,30,2.3,,,2.0,1.3,,5.3,,0.3,,,,,,60,,,,24.6,,,,,,,,
376,Hybrid Maize Trial (White),M0206SNK,4,M2016-6,MALI,SAMANKO,,-8.08,12.53,,2002,1821,,61.50,155,63,2.0,2.0,30,30,2.3,,,2.0,2.0,,9.5,,,,,,,,60,,,,23.3,,,,,,,,
377,Hybrid Maize Trial (White),M0206SNK,5,0103-4*,MALI,SAMANKO,,-8.08,12.53,,2002,2278,,62.50,127,53,2.5,2.0,29,32,2.3,,,2.0,0.5,,5.0,,2.3,,,,,,60,,,,21.0,,,,,,,,
378,Hybrid Maize Trial (White),M0206SNK,6,0103-6*,MALI,SAMANKO,,-8.08,12.53,,2002,2333,,66.25,135,49,2.8,2.0,30,30,2.8,,,2.5,1.8,,7.0,,,,,,,,64,,,,26.4,,,,,,,,
379,Hybrid Maize Trial (White),M0206SNK,7,0103-7*,MALI,SAMANKO,,-8.08,12.53,,2002,2205,,65.50,135,49,2.5,2.5,31,31,2.8,,,1.8,1.5,,7.5,,0.3,,,,,,63,,,,26.0,,,,,,,,
380,Hybrid Maize Trial (White),M0206SNK,8,0103-11*,MALI,SAMANKO,,-8.08,12.53,,2002,1803,,65.50,140,55,2.0,2.3,29,29,2.0,,,2.0,1.8,,12.8,,,,,,,,64,,,,21.0,,,,,,,,
381,Hybrid Maize Trial (White),M0206SNK,9,0103-13*,MALI,SAMANKO,,-8.08,12.53,,2002,2430,,67.50,146,56,2.5,2.3,32,32,3.0,,,2.3,1.0,,8.0,,1.0,,,,,,65,,,,23.4,,,,,,,,
382,Hybrid Maize Trial (White),M0206SNK,10,PH1*,MALI,SAMANKO,,-8.08,12.53,,2002,2044,,66.50,174,83,2.5,2.5,22,22,2.8,,,2.0,3.3,,8.5,,,,,,,,64,,,,28.4,,,,,,,,
383,Hybrid Maize Trial (White),M0206SNK,11,PH5*,MALI,SAMANKO,,-8.08,12.53,,2002,2071,,65.00,153,61,2.5,2.0,28,28,3.0,,,2.3,1.5,,4.3,,1.5,,,,,,63,,,,26.3,,,,,,,,
384,Hybrid Maize Trial (White),M0206SNK,12,PH6*,MALI,SAMANKO,,-8.08,12.53,,2002,1987,,66.00,155,66,2.5,2.3,24,24,2.8,,,2.0,1.8,,12.0,,1.0,,,,,,64,,,,26.5,,,,,,,,
385,Hybrid Maize Trial (White),M0206SNK,13,OBA SUPER I,MALI,SAMANKO,,-8.08,12.53,,2002,2030,,66.00,151,61,2.5,2.0,30,30,2.5,,,2.3,1.8,,6.3,,0.8,,,,,,64,,,,23.1,,,,,,,,
386,Hybrid Maize Trial (White),M0206SNK,14,Check,MALI,SAMANKO,,-8.08,12.53,,2002,1605,,64.50,178,81,2.5,2.3,23,23,2.5,,,2.0,1.5,,4.8,,,,,,,,62,,,,24.7,,,,,,,,
387,Hybrid Maize Trial (Yellow),M0207KEB,1,2016-3,MALI,KEBILA,,-7.03,11.28,,2002,4693,,64.25,180,86,3.3,1.5,36,37,2.3,,,2.3,1.0,,2.5,,,,,,,,61,,,,25.4,,,,,,,,37
388,Hybrid Maize Trial (Yellow),M0207KEB,2,2006-7,MALI,KEBILA,,-7.03,11.28,,2002,5723,,61.25,175,79,2.8,1.3,40,37,1.5,,,1.5,1.3,,1.0,,,,,,,,59,,,,23.7,,,,,,,,40
389,Hybrid Maize Trial (Yellow),M0207KEB,3,9903-2,MALI,KEBILA,,-7.03,11.28,,2002,4399,,62.00,186,81,2.5,1.5,39,34,2.5,,,3.0,1.3,,1.3,,,,,,,,60,,,,22.1,,,,,,,,42
390,Hybrid Maize Trial (Yellow),M0207KEB,4,9903-3,MALI,KEBILA,,-7.03,11.28,,2002,4886,,62.25,197,90,2.5,1.5,41,37,2.3,,,2.3,0.8,,1.3,,,,,,,,60,,,,24.3,,,,,,,,42
391,Hybrid Maize Trial (Yellow),M0207KEB,5,2006-34,MALI,KEBILA,,-7.03,11.28,,2002,5103,,62.50,190,89,2.3,1.5,37,41,2.0,,,2.3,3.5,,3.0,,,,,,,,60,,,,22.1,,,,,,,,43
392,Hybrid Maize Trial (Yellow),M0207KEB,6,0107-16*,MALI,KEBILA,,-7.03,11.28,,2002,4626,,61.75,176,80,2.8,1.0,39,36,2.0,,,2.3,1.8,,0.8,,,,,,,,59,,,,25.8,,,,,,,,43
393,Hybrid Maize Trial (Yellow),M0207KEB,7,0107-26*,MALI,KEBILA,,-7.03,11.28,,2002,3128,,63.75,180,88,3.0,2.5,38,31,3.0,,,3.0,5.3,,3.0,,,,,,,,61,,,,22.9,,,,,,,,41
394,Hybrid Maize Trial (Yellow),M0207KEB,8,0107-42*,MALI,KEBILA,,-7.03,11.28,,2002,4483,,64.25,194,91,3.0,1.8,39,36,2.5,,,2.5,3.3,,4.3,,,,,,,,61,,,,23.7,,,,,,,,42
